               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.033877,            0.042963,            0.016981,               0.506,             0.53316,             0.53627,             0.32307,            0.023335,            0.020592,            0.014776,            0.003466,            0.003466,            0.003466
                  68,            0.033613,            0.042628,            0.016648,             0.50979,             0.53372,             0.53585,             0.32241,            0.023313,            0.020578,            0.014761,            0.003367,            0.003367,            0.003367
                  69,            0.033545,            0.042619,            0.016462,             0.51152,             0.53206,             0.53714,               0.323,            0.023289,            0.020573,            0.014737,            0.003268,            0.003268,            0.003268
                  70,            0.033558,              0.0431,            0.016354,             0.51668,             0.53134,             0.53773,              0.3227,            0.023264,            0.020564,            0.014711,            0.003169,            0.003169,            0.003169
                  71,            0.033688,            0.042824,            0.017389,             0.51831,             0.53117,             0.53792,             0.32304,            0.023241,            0.020554,            0.014683,             0.00307,             0.00307,             0.00307
                  72,            0.033867,            0.043554,            0.017216,             0.52098,             0.53183,             0.53872,             0.32366,            0.023215,            0.020542,            0.014664,            0.002971,            0.002971,            0.002971
                  73,             0.03363,            0.042921,            0.017226,             0.52424,             0.53092,              0.5397,             0.32439,            0.023188,            0.020534,            0.014644,            0.002872,            0.002872,            0.002872
                  74,            0.033451,            0.042541,            0.016621,             0.52568,             0.52977,             0.54022,             0.32527,            0.023161,            0.020533,            0.014615,            0.002773,            0.002773,            0.002773
                  75,            0.033311,            0.042629,            0.016334,             0.52546,             0.53013,             0.54106,             0.32585,            0.023135,            0.020528,            0.014584,            0.002674,            0.002674,            0.002674
                  76,            0.033247,            0.042593,            0.016377,             0.53242,             0.52639,             0.54162,             0.32679,            0.023103,            0.020522,            0.014553,            0.002575,            0.002575,            0.002575
                  77,            0.033098,            0.042369,            0.016101,             0.53594,              0.5248,             0.54234,             0.32734,            0.023077,            0.020517,             0.01452,            0.002476,            0.002476,            0.002476
                  78,            0.033418,            0.043029,            0.015843,             0.53877,             0.52546,              0.5434,             0.32795,            0.023054,            0.020511,            0.014495,            0.002377,            0.002377,            0.002377
                  79,             0.03318,             0.04229,            0.015984,             0.53989,             0.52552,             0.54401,             0.32858,            0.023025,            0.020505,            0.014464,            0.002278,            0.002278,            0.002278
                  80,            0.033158,            0.042614,            0.015609,             0.54184,             0.52582,             0.54528,             0.32921,            0.022995,            0.020503,            0.014425,            0.002179,            0.002179,            0.002179
                  81,             0.03287,            0.042102,            0.015508,             0.54456,             0.52542,             0.54716,             0.33024,            0.022968,            0.020499,            0.014396,             0.00208,             0.00208,             0.00208
                  82,            0.032895,              0.0421,            0.015105,              0.5456,             0.52422,             0.54796,             0.33067,            0.022944,            0.020495,            0.014362,            0.001981,            0.001981,            0.001981
                  83,            0.032699,             0.04258,            0.014838,             0.54749,             0.52364,             0.54822,             0.33126,            0.022921,             0.02049,            0.014336,            0.001882,            0.001882,            0.001882
                  84,            0.032368,            0.041909,            0.014596,             0.54653,              0.5258,             0.54867,              0.3318,            0.022903,            0.020487,            0.014304,            0.001783,            0.001783,            0.001783
                  85,             0.03266,            0.042305,            0.014496,             0.54731,             0.52998,             0.54933,             0.33201,            0.022883,            0.020485,            0.014277,            0.001684,            0.001684,            0.001684
                  86,            0.032381,            0.041991,            0.014289,             0.54509,             0.53206,             0.55004,             0.33269,             0.02286,            0.020483,            0.014249,            0.001585,            0.001585,            0.001585
                  87,            0.032097,            0.041742,            0.014081,             0.54382,             0.53388,             0.55137,             0.33355,            0.022832,            0.020481,            0.014225,            0.001486,            0.001486,            0.001486
                  88,            0.032072,            0.041831,            0.013732,             0.54298,             0.53571,             0.55184,             0.33368,            0.022813,            0.020479,            0.014195,            0.001387,            0.001387,            0.001387
                  89,            0.031944,            0.041218,            0.013574,             0.54498,              0.5369,             0.55305,             0.33438,            0.022795,            0.020479,            0.014169,            0.001288,            0.001288,            0.001288
                  90,            0.031568,            0.041299,            0.013335,             0.54548,             0.53859,              0.5541,             0.33478,            0.022772,            0.020477,            0.014145,            0.001189,            0.001189,            0.001189
                  91,            0.031706,            0.041402,            0.013312,              0.5469,             0.54034,             0.55561,             0.33571,             0.02275,            0.020478,            0.014114,             0.00109,             0.00109,             0.00109
                  92,            0.031532,              0.0413,            0.013252,             0.54715,              0.5406,             0.55651,             0.33662,             0.02273,            0.020476,            0.014077,            0.000991,            0.000991,            0.000991
                  93,            0.031324,            0.041078,            0.013129,             0.54608,             0.54302,             0.55772,             0.33748,            0.022712,            0.020475,            0.014047,            0.000892,            0.000892,            0.000892
                  94,            0.031719,            0.041206,            0.012846,             0.54529,             0.54451,             0.55811,             0.33759,            0.022699,            0.020476,            0.014017,            0.000793,            0.000793,            0.000793
                  95,            0.031401,            0.040903,            0.012496,             0.54419,             0.54586,             0.55874,              0.3381,            0.022684,            0.020478,            0.013991,            0.000694,            0.000694,            0.000694
                  96,            0.031096,            0.040896,            0.012515,             0.54758,             0.54614,             0.55907,             0.33869,            0.022671,            0.020481,            0.013965,            0.000595,            0.000595,            0.000595
                  97,            0.031172,            0.041188,            0.011939,             0.54864,             0.54614,             0.55935,             0.33885,            0.022655,            0.020484,            0.013937,            0.000496,            0.000496,            0.000496
                  98,            0.030914,            0.040871,            0.012215,             0.54735,             0.54942,             0.56008,             0.33961,            0.022638,            0.020485,            0.013912,            0.000397,            0.000397,            0.000397
                  99,            0.030946,            0.041186,            0.011793,             0.54761,             0.55057,             0.56118,             0.34076,            0.022621,            0.020487,            0.013886,            0.000298,            0.000298,            0.000298
